ISIN,PARENT ID,ESG Score,Environmental Pillar Score,Social Pillar Score,Governance Pillar Score,Return On Asset,Return On Equity,Total Debt to Asset,WACC Cost of Debt,Issuer Credit Rating,Market of Issue,Country of Issue,Sector,Use of Proceeds,Principal Currency,Maturity,Issue Date,Coupon,Amount Issued (USD),Preferred RIC,Issuer
TH0221032B04,4295892710,73.4,59.11,96.42,55.23,2.2,7.95,0.6,0.06,BBB,Domestic,Thailand,Transportation ,Clean Transport,Thai Baht,06/11/2022,06/11/2020,2.1,14132570.74,BTSG22NA=TS,BTS Group Holdings PCL
FR0013048204,4295867555,89.06,92.93,90.27,83.41,3,6.38,0.34,0.04,BBB,Domestic,France,Real Estate,Eligible Green Projects,Euro,06/11/2022,06/11/2015,2.75,49235040.82,FR0013048204=,Gecina SA
NZCEND0040L1,4295885081,54.09,51.01,50.7,63.71,4.89,6.74,0.21,0.05,AA-,Domestic,New Zealand,Utility ,Energy Efficiency,New Zealand Dollar,15/11/2022,23/02/2017,4.63,59379954,NZCEN1122=,Contact Energy Ltd
JP373480AKB4,4295876533,64.28,86.11,56.46,48.35,6.97,11.13,0.22,0,BBB,Domestic,Japan,Electronics,Eligible Green Projects,Japanese Yen,28/11/2022,28/11/2019,0.02,341017596,JP00096594=,Nidec Corp
SE0013882743,4295889919,59,55.53,67.04,53.51,-0.3,2.38,0.42,0.05,BB-,Domestic,Sweden,Home Builders,Clean Transport,Swedish Krona,30/11/2022,30/11/2020,1.97,32312862,SE0013882743=,Wallenstam AB
JP362700AHC2,4295878014,41.01,68.18,24.66,25.49,2.73,8.62,0.24,0,BBB,Domestic,Japan,Building Products,Energy Efficiency,Japanese Yen,14/12/2022,14/12/2017,0.27,68203519,JP00031860=,Toda Corp
SE0013882776,4295890093,42.83,50.81,43.47,34.41,6,5.8,0.48,0.04,BB,Domestic,Sweden,Home Builders,Clean Transport,Swedish Krona,22/12/2022,22/12/2020,2.56,46161231,SE0013882776=,Atrium Ljungberg AB
KR6003491B77,4295881084,75.89,65.53,83.35,76.3,6.89,-7.22,0.47,0.05,AA-,Domestic,South Korea,Airline,Clean Transport,South Korean Won,06/01/2023,07/07/2021,2.39,50271465,KR6003491B7=,Korean Air Lines Co Ltd
SE0012676591,4295890203,43.75,48.88,37.49,45.67,2.3,5.89,0.52,0.04,BB,Domestic,Sweden,Home Builders,Energy Efficiency,Swedish Krona,06/02/2023,06/11/2019,2.11,129251449,SE0012676591=,Fastighets AB Balder
FR0013284247,4295866806,77.42,66.66,86.91,83.2,2.57,5.86,0.18,0.03,BBB+,Domestic,France,Oil and Gas,Clean Transport,Euro,28/02/2023,28/09/2017,0.38,500951808,FR0013284247=,Engie SA
SE0010947143,4295889872,82.95,85.76,85.69,77.22,3.05,3.61,0.36,0.04,BB-,Domestic,Sweden,Home Builders,Eligible Green Projects,Swedish Krona,28/02/2023,28/02/2018,1.63,46161231,SE0010947143=,Fabege AB
SE0010947135,4295889872,82.95,85.76,85.69,77.22,3.05,3.61,0.36,0.04,BB-,Domestic,Sweden,Home Builders,Eligible Green Projects,Swedish Krona,28/02/2023,28/02/2018,2.37,46161231,SE0010947135=,Fabege AB
ZAG000150137,4295888393,55.8,68.87,56.38,40.01,0.8,8.22,0.39,0.06,BB-,Domestic,South Africa,Home Builders,Energy Efficiency,South African Rand,09/03/2023,09/03/2018,7.19,16917802,ZAGRT24G=,Growthpoint Properties Ltd
ZAG000150111,4295888393,55.8,68.87,56.38,40.01,0.8,8.22,0.39,0.06,BB-,Domestic,South Africa,Home Builders,Energy Efficiency,South African Rand,09/03/2023,09/03/2018,7.49,13534241,ZAGRT25G=,Growthpoint Properties Ltd
NZMELDT016C8,4296705325,53.08,62.99,46.08,45.32,4.25,4.5,0.13,0.05,A+,Domestic,New Zealand,Utility ,Energy Efficiency,New Zealand Dollar,14/03/2023,14/03/2016,4.53,89069931,NZMER0323=,Meridian Energy Ltd
CND100033P04,5000072645,43.22,39.61,24.28,73.99,4.2,11.31,0.3,0.07,A+,Domestic,China,Utility ,Eligible Green Projects,Chinese Yuan,30/03/2023,26/03/2020,3.5,69188830,CN132000013=,Sichuan Chuantou Energy Co Ltd
JP349980AJ44,4295878091,57.44,68.46,47.19,67.15,1.25,7,0.79,0,BBB,Domestic,Japan,Leasing,Renewable Energy,Japanese Yen,17/04/2023,17/04/2018,0.18,68203519,JP01028593=,Mitsubishi HC Capital Inc
SE0012455772,5037282595,30.43,35.77,31.8,23.27,20,-50.9,0.44,0.07,A+,Domestic,Sweden,Electronics,General Purpose,Swedish Krona,25/04/2023,25/04/2019,10.01,18464492,SE0012455772=,Midsummer AB
SE0013882990,4295889919,59,55.53,67.04,53.51,-0.3,2.38,0.42,0.05,BB-,Domestic,Sweden,Home Builders,Clean Transport,Swedish Krona,26/04/2023,26/04/2021,2,32312862,SE0013882990=,Wallenstam AB
SE0010832774,4295890093,42.83,50.81,43.47,34.41,6,5.8,0.48,0.04,BB,Domestic,Sweden,Home Builders,Clean Transport,Swedish Krona,03/05/2023,03/05/2018,2.46,23080615,SE0010832774=,Atrium Ljungberg AB
JP375300AJ59,4295880585,83.98,76.1,87.26,89.17,28.92,24.78,0.26,0.01,AA-,Domestic,Japan,Transportation ,Clean Transport,Japanese Yen,24/05/2023,24/05/2018,0.29,68203519,JP00409101=,Nippon Yusen KK
JP303971AJ59,4295878450,37.69,63.28,28.93,16.06,3.06,4.81,0.44,0.01,A-,Domestic,Japan,Real Estate,Energy Efficiency,Japanese Yen,25/05/2023,25/05/2018,0.21,54562815,JP00128953=,Japan Metropolitan Fund Investment Corp
JP318320AN67,4298007773,52.67,13.61,50.77,66,0.1,15.99,0,0.01,A+,Domestic,Japan,Securities,Renewable Energy,Japanese Yen,03/06/2023,03/06/2022,0.05,3410175,JP00018697=,Japan Exchange Group Inc
SE0014453130,5061191629,37.66,31.47,30.65,51.35,5.35,8.75,0.58,0.06,A+,Domestic,Sweden,Service ,Eligible Green Projects,Swedish Krona,12/06/2023,12/06/2020,6.23,55393478,SE0014453130=,Cibus Nordic Real Estate AB (publ)
SE0013883097,4295889799,52.21,62.69,59.57,34,10.6,10.55,0.5,0.06,BB-,Domestic,Sweden,Financial ,Clean Transport,Swedish Krona,21/06/2023,21/06/2021,3.09,46161231,SE0013883097=,Dios Fastigheter AB
JP389960AJ69,4295880549,81.1,89.4,75.13,79.64,3.45,7.6,0.42,0.01,AA-,Domestic,Japan,Service ,Energy Efficiency,Japanese Yen,26/06/2023,26/06/2018,0.09,136407038,JP01278802=,Mitsubishi Estate Co Ltd
SE0012676435,4295890093,42.83,50.81,43.47,34.41,6,5.8,0.48,0.04,BB,Domestic,Sweden,Home Builders,Clean Transport,Swedish Krona,07/07/2023,08/07/2019,2.74,36928985,SE0012676435=,Atrium Ljungberg AB
